Team Name,Year,Total Home Attendance
California Angels,1981,1441545
Atlanta Braves,1982,1800376
Baltimore Orioles,1982,1613685
Boston Red Sox,1982,1954038
Chicago Cubs,1982,1250410
Chicago White Sox,1982,1567787
Cincinnati Reds,1982,1340706
Cleveland Indians,1982,1044041
Detroit Tigers,1982,1636058
Houston Astros,1982,1560396
Kansas City Royals,1982,2279464
Los Angeles Dodgers,1982,3608881
Milwaukee Brewers,1982,1978815
Minnesota Twins,1982,921186
Montreal Expos,1982,2319792
New York Mets,1982,1320469
New York Yankees,1982,2041219
Oakland Athletics,1982,1738658
Philadelphia Phillies,1982,2374711
Pittsburgh Pirates,1982,1026477
San Diego Padres,1982,1617391
San Francisco Giants,1982,1228846
Seattle Mariners,1982,1070387
St. Louis Cardinals,1982,2111922
Texas Rangers,1982,1154432
Toronto Blue Jays,1982,1275908
California Angels,1982,2807360
Atlanta Braves,1983,2116740
Baltimore Orioles,1983,2036397
Boston Red Sox,1983,1780794
Chicago Cubs,1983,1483702
Chicago White Sox,1983,2132813
Cincinnati Reds,1983,1192882
Cleveland Indians,1983,768937
Detroit Tigers,1983,1786900
Houston Astros,1983,1352942
Kansas City Royals,1983,1963886
Los Angeles Dodgers,1983,3509313
Milwaukee Brewers,1983,2266725
Minnesota Twins,1983,868272
Montreal Expos,1983,2320556
New York Mets,1983,1099876
New York Yankees,1983,2249688
Oakland Athletics,1983,1294941
Philadelphia Phillies,1983,2128345
Pittsburgh Pirates,1983,1227449
San Diego Padres,1983,1544736
San Francisco Giants,1983,1256098
Seattle Mariners,1983,808037
St. Louis Cardinals,1983,2343669
Texas Rangers,1983,1362314
Toronto Blue Jays,1983,1930277
California Angels,1983,2555376
Atlanta Braves,1984,1724891
Baltimore Orioles,1984,2037206
Boston Red Sox,1984,1660551
Chicago Cubs,1984,2108055
Chicago White Sox,1984,2135827
Cincinnati Reds,1984,1270073
Cleveland Indians,1984,731378
Detroit Tigers,1984,2704794
Houston Astros,1984,1230579
Kansas City Royals,1984,1810018
Los Angeles Dodgers,1984,3134824
Milwaukee Brewers,1984,1608509
Minnesota Twins,1984,1598373
Montreal Expos,1984,1623419
New York Mets,1984,1829481
New York Yankees,1984,1823496
Oakland Athletics,1984,1353281
Philadelphia Phillies,1984,2062966
Pittsburgh Pirates,1984,773195
San Diego Padres,1984,1984953
San Francisco Giants,1984,1001551
Seattle Mariners,1984,869874
St. Louis Cardinals,1984,2059347
Texas Rangers,1984,1102430
Toronto Blue Jays,1984,2110009
California Angels,1984,2402997
Atlanta Braves,1985,1350047
Baltimore Orioles,1985,2137434
Boston Red Sox,1985,1786463
Chicago Cubs,1985,2161534
Chicago White Sox,1985,1669970
Cincinnati Reds,1985,1834619
Cleveland Indians,1985,655181
Detroit Tigers,1985,2286610
