Team Name,Home Runs,Year
Detroit Tigers,143,1980
Houston Astros,75,1980
Kansas City Royals,115,1980
Los Angeles Dodgers,148,1980
Milwaukee Brewers,203,1980
Minnesota Twins,99,1980
Montreal Expos,114,1980
New York Mets,61,1980
New York Yankees,189,1980
Oakland Athletics,137,1980
Philadelphia Phillies,117,1980
Pittsburgh Pirates,116,1980
San Diego Padres,67,1980
Seattle Mariners,104,1980
San Francisco Giants,80,1980
St. Louis Cardinals,101,1980
Texas Rangers,124,1980
Toronto Blue Jays,126,1980
Atlanta Braves,64,1981
Baltimore Orioles,88,1981
Boston Red Sox,90,1981
California Angels,97,1981
Chicago Cubs,57,1981
Chicago White Sox,76,1981
Cincinnati Reds,64,1981
Cleveland Indians,39,1981
Detroit Tigers,65,1981
Houston Astros,45,1981
Kansas City Royals,61,1981
Los Angeles Dodgers,82,1981
Milwaukee Brewers,96,1981
Minnesota Twins,47,1981
Montreal Expos,81,1981
New York Mets,57,1981
New York Yankees,100,1981
Oakland Athletics,104,1981
Philadelphia Phillies,69,1981
Pittsburgh Pirates,55,1981
San Diego Padres,32,1981
Seattle Mariners,89,1981
San Francisco Giants,63,1981
St. Louis Cardinals,50,1981
Texas Rangers,49,1981
Toronto Blue Jays,61,1981
Atlanta Braves,146,1982
Baltimore Orioles,179,1982
Boston Red Sox,136,1982
California Angels,186,1982
Chicago Cubs,102,1982
Chicago White Sox,136,1982
Cincinnati Reds,82,1982
Cleveland Indians,109,1982
Detroit Tigers,177,1982
Houston Astros,74,1982
Kansas City Royals,132,1982
Los Angeles Dodgers,138,1982
Milwaukee Brewers,216,1982
Minnesota Twins,148,1982
Montreal Expos,133,1982
New York Mets,97,1982
New York Yankees,161,1982
Oakland Athletics,149,1982
Philadelphia Phillies,112,1982
Pittsburgh Pirates,134,1982
San Diego Padres,81,1982
Seattle Mariners,130,1982
San Francisco Giants,133,1982
St. Louis Cardinals,67,1982
Texas Rangers,115,1982
Toronto Blue Jays,106,1982
Atlanta Braves,130,1983
Baltimore Orioles,168,1983
Boston Red Sox,142,1983
California Angels,154,1983
Chicago Cubs,140,1983
Chicago White Sox,157,1983
Cincinnati Reds,107,1983
Cleveland Indians,86,1983
Detroit Tigers,156,1983
Houston Astros,97,1983
Kansas City Royals,109,1983
Los Angeles Dodgers,146,1983
Milwaukee Brewers,132,1983
Minnesota Twins,141,1983
Montreal Expos,102,1983
New York Mets,112,1983
New York Yankees,153,1983
Oakland Athletics,121,1983
Philadelphia Phillies,125,1983
Pittsburgh Pirates,121,1983
San Diego Padres,93,1983
Seattle Mariners,111,1983
San Francisco Giants,142,1983
St. Louis Cardinals,83,1983
Texas Rangers,106,1983
Toronto Blue Jays,167,1983
Atlanta Braves,111,1984
Baltimore Orioles,160,1984
Boston Red Sox,181,1984
California Angels,150,1984
Chicago Cubs,136,1984
Chicago White Sox,172,1984
Cincinnati Reds,106,1984
Cleveland Indians,123,1984
Detroit Tigers,187,1984
Houston Astros,79,1984
Kansas City Royals,117,1984
Los Angeles Dodgers,102,1984
Milwaukee Brewers,96,1984
Minnesota Twins,114,1984
Montreal Expos,96,1984
New York Mets,107,1984
New York Yankees,130,1984
Oakland Athletics,158,1984
Philadelphia Phillies,147,1984
Pittsburgh Pirates,98,1984
San Diego Padres,109,1984
Seattle Mariners,129,1984
San Francisco Giants,112,1984
St. Louis Cardinals,75,1984
Texas Rangers,120,1984
Toronto Blue Jays,143,1984
Atlanta Braves,126,1985
Baltimore Orioles,214,1985
Boston Red Sox,162,1985
California Angels,153,1985
Chicago Cubs,150,1985
Chicago White Sox,146,1985
Cincinnati Reds,114,1985
Cleveland Indians,116,1985
Detroit Tigers,202,1985
Houston Astros,121,1985
Kansas City Royals,154,1985
Los Angeles Dodgers,129,1985
Milwaukee Brewers,101,1985
Minnesota Twins,141,1985
Montreal Expos,118,1985
New York Mets,134,1985
New York Yankees,176,1985
Oakland Athletics,155,1985
Philadelphia Phillies,141,1985
Pittsburgh Pirates,80,1985
San Diego Padres,109,1985
Seattle Mariners,171,1985
San Francisco Giants,115,1985
St. Louis Cardinals,87,1985
Texas Rangers,129,1985
Toronto Blue Jays,158,1985
Atlanta Braves,138,1986
Baltimore Orioles,169,1986
Boston Red Sox,144,1986
California Angels,167,1986
Chicago Cubs,155,1986
Chicago White Sox,121,1986
Cincinnati Reds,144,1986
Cleveland Indians,157,1986
Detroit Tigers,198,1986
Houston Astros,125,1986
Kansas City Royals,137,1986
Los Angeles Dodgers,130,1986
Milwaukee Brewers,127,1986
Minnesota Twins,196,1986
Montreal Expos,110,1986
New York Mets,148,1986
New York Yankees,188,1986
Oakland Athletics,163,1986
Philadelphia Phillies,154,1986
Pittsburgh Pirates,111,1986
San Diego Padres,136,1986
Seattle Mariners,158,1986
San Francisco Giants,114,1986
St. Louis Cardinals,58,1986
Texas Rangers,184,1986
Toronto Blue Jays,181,1986
Atlanta Braves,152,1987
Baltimore Orioles,211,1987
Boston Red Sox,174,1987
California Angels,172,1987
Chicago Cubs,209,1987
Chicago White Sox,173,1987
Cincinnati Reds,192,1987
Cleveland Indians,187,1987
Detroit Tigers,225,1987
Houston Astros,122,1987
Kansas City Royals,168,1987
Los Angeles Dodgers,125,1987
Milwaukee Brewers,163,1987
Minnesota Twins,196,1987
Montreal Expos,120,1987
New York Mets,192,1987
New York Yankees,196,1987
Oakland Athletics,199,1987
Philadelphia Phillies,169,1987
Pittsburgh Pirates,131,1987
San Diego Padres,113,1987
Seattle Mariners,161,1987
San Francisco Giants,205,1987
St. Louis Cardinals,94,1987
Texas Rangers,194,1987
Toronto Blue Jays,215,1987
Atlanta Braves,96,1988
Baltimore Orioles,137,1988
Boston Red Sox,124,1988
California Angels,124,1988
Chicago Cubs,113,1988
Chicago White Sox,132,1988
Cincinnati Reds,122,1988
Cleveland Indians,134,1988
Detroit Tigers,143,1988
Houston Astros,96,1988
Kansas City Royals,121,1988
Los Angeles Dodgers,99,1988
Milwaukee Brewers,113,1988
Minnesota Twins,151,1988
Montreal Expos,107,1988
New York Mets,152,1988
New York Yankees,148,1988
Oakland Athletics,156,1988
Philadelphia Phillies,106,1988
Pittsburgh Pirates,110,1988
San Diego Padres,94,1988
Seattle Mariners,148,1988
San Francisco Giants,113,1988
St. Louis Cardinals,71,1988
Texas Rangers,112,1988
Toronto Blue Jays,158,1988
Atlanta Braves,128,1989
Baltimore Orioles,129,1989
Boston Red Sox,108,1989
California Angels,145,1989
Chicago Cubs,124,1989
Chicago White Sox,94,1989
Cincinnati Reds,128,1989
Cleveland Indians,127,1989
Detroit Tigers,116,1989
Houston Astros,97,1989
Kansas City Royals,101,1989
Los Angeles Dodgers,89,1989
Milwaukee Brewers,126,1989
Minnesota Twins,117,1989
Montreal Expos,100,1989
New York Mets,147,1989
New York Yankees,130,1989
Oakland Athletics,127,1989
Philadelphia Phillies,123,1989
Pittsburgh Pirates,95,1989
San Diego Padres,120,1989
Seattle Mariners,134,1989
San Francisco Giants,141,1989
St. Louis Cardinals,73,1989
Texas Rangers,122,1989
Toronto Blue Jays,142,1989
Atlanta Braves,162,1990
Baltimore Orioles,132,1990
Boston Red Sox,106,1990
California Angels,147,1990
Chicago Cubs,136,1990
Chicago White Sox,106,1990
Cincinnati Reds,125,1990
